Symbol,Series,ClosePrice,TodayVolume,ValueTraded,2026-07-28
BLSE,EQ,282.63,370322,105069165.62
BLS,EQ,235.70,502084,119289037.45
BLUEDART,EQ,5103.50,28302,146297658.90
BLUEJET,EQ,571.95,268249,154981492.65
BLUESTARCO,EQ,1645.20,266593,435293548.50
BLUESTONE,EQ,757.25,11488370,9025975084.50
BLUSPRING,EQ,107.08,292102,31177635.50
BMWVENTLTD,EQ,57.71,61054,3558658.58
BTML,EQ,6.33,191797,1231901.39
BOHRAIND,EQ,13.81,16846,232612.02
BBTC,EQ,1491.70,17683,26435952.80
BOMDYEING,EQ,120.42,209170,25301407.94
BONLON,EQ,39.90,1458,58488.23
BORANA,EQ,322.25,20318,6555085.30
BOROLTD,EQ,228.90,29294,6764523.82
BORORENEW,EQ,572.40,294849,170130871.70
BOROSCI,EQ,153.95,27610,4274289.79
BOSCH-HCIL,EQ,1333.80,10464,13941618.60
BOSCHLTD,EQ,41310.00,25733,1061548570.00
BPL,EQ,52.74,36541,1937857.27
FIRSTCRY,EQ,212.36,615767,131791686.60
BCONCEPTS,EQ,187.18,2676,504285.09
BRIGADE,EQ,560.20,604649,336857206.30
BRIGHOTEL,EQ,59.86,135513,8103283.26
BCG,EQ,9.30,3036255,28401409.30
BRITANNIA,EQ,5478.50,340199,1856415768.00
BSE,EQ,3457.80,2432122,8475476703.00
BSL,EQ,126.18,3961,501320.73
BUTTERFLY,EQ,756.70,70446,53899168.70
MAPMYINDIA,EQ,1136.15,146019,165897276.95
CMLL,EQ,566.35,17478496,10314945046.90
CTE,EQ,31.61,6919,218665.02
CAMLINFINE,EQ,126.59,379894,47698959.82
CAMPUS,EQ,216.36,338063,73479373.72
CANFINHOME,EQ,817.05,102004,83199234.95
CANBK,EQ,124.24,31317720,3910748679.04
CANHLIFE,EQ,141.67,367347,52453109.09
CRAMC,EQ,262.41,332794,87266479.99
CANTABIL,EQ,238.48,49028,11727492.56
CAPACITE,EQ,216.25,172441,37342665.60
CAPILLARY,EQ,511.40,638221,333168962.80
CIFL,EQ,20.18,42037,854988.83
CAPITALSFB,EQ,296.30,37775,11209983.75
CAPTRUST,EQ,15.74,28945,453956.58
CAPLIPOINT,EQ,2588.30,106528,279238970.70
CGCL,EQ,228.22,18694707,4486598457.29
CPL,EQ,70.67,15533,1097794.62
CARBORUNIV,EQ,1061.50,59332,63046742.90
CARERATING,EQ,1673.20,27167,45593986.30
CPEDU,EQ,194.20,10766,2107628.08
CARRARO,EQ,529.15,69373,37004957.45
CARTRADE,EQ,2962.70,1490054,4450686664.80
CARYSIL,EQ,1152.20,40159,46157099.50
CASTROLIND,EQ,184.06,1033297,190195828.90
CCL,EQ,1188.20,534436,636328557.00
CEATLTD,EQ,3401.40,55183,186858166.50
CEIGALL,EQ,324.75,151355,49624790.90
CEINSYS,EQ,844.25,43063,36660323.45
CELEBRITY,EQ,6.93,11219,78220.68
CELLO,EQ,344.45,103515,35709658.60
CEMPRO,EQ,1340.80,2231186,2944984075.70
CENTRALBK,EQ,30.89,5729843,177593111.32
CDSL,EQ,1345.10,984104,1315011660.40
CMPDI,EQ,242.96,2149322,530163526.78
CENTRUM,EQ,23.18,190582,4402339.41
CENTUM,EQ,3455.90,26604,92375023.00
CENTENKA,EQ,600.20,2372958,1474279908.50
CENTEXT,EQ,18.64,41057,767205.83
CENTURYPLY,EQ,791.15,21034,16603912.35
CERA,EQ,6263.50,40875,259826526.50
CESC,EQ,163.88,1247871,204668992.51
CGPOWER,EQ,844.10,7593398,6392022918.60
CHALET,EQ,844.15,107976,90966032.40
CLSEL,EQ,277.10,23072,6418169.80
CHAMBLFERT,EQ,438.40,202193,88762095.45
CHEMPLASTS,EQ,202.14,216766,43878628.74
CHENNPETRO,EQ,1180.50,1214575,1439543256.20
CHEVIOT,EQ,1156.90,2527,2920264.20
CHOICEIN,EQ,796.55,330643,264113955.95
CHOICEGOLD,EQ,139.92,12417,1743500.61
CHOLAHLDNG,EQ,1515.00,438721,667298900.80
CHOLAFIN,EQ,1753.00,3624877,6417095697.00
CIEINDIA,EQ,408.30,327828,134381236.50
CINELINE,EQ,80.99,10757,874831.32
CINEVISTA,EQ,15.33,1307,19974.52
CIPLA,EQ,1444.60,1621735,2334333796.60
CUB,EQ,238.14,20864618,4938945729.93
CLEANMAX,EQ,1317.10,327168,436474267.60
CLEAN,EQ,730.10,145969,106234941.50
CMRGREEN,EQ,215.10,793526,170506392.15
CMSINFO,EQ,271.55,335243,91210591.80
COALINDIA,EQ,410.15,14222229,5870838810.50
COASTCORP,EQ,50.04,33736,1689932.64
COCHINSHIP,EQ,1382.60,839816,1167171679.90
COFORGE,EQ,1686.00,15625771,25973972592.60
COHANCE,EQ,425.75,220071,94249272.90
COLPAL,EQ,2138.10,327640,703680232.90
COMFINTE,EQ,5.35,113678,610229.54
COMSYN,EQ,179.25,291933,52747426.51
COMPUSOFT,EQ,13.22,12499,165431.99
CAMS,EQ,800.30,1068449,848437218.55
CONCORDBIO,EQ,1256.10,27927,35047570.30
CEWATER,EQ,286.25,49294,14258381.75
CONFIPET,EQ,77.49,3344524,260239699.15
CCCL,EQ,15.72,197402,3117067.14
CONCOR,EQ,522.40,7636437,3985943670.00
CONTROLPR,EQ,589.85,16271,9620671.40
CORALFINAC,EQ,33.67,82516,2766348.61
COROMANDEL,EQ,2026.80,118186,238169911.60
CORONA,EQ,2069.70,23031,47991674.70
COSMOFIRST,EQ,890.30,98477,89124380.05
CCHHL,EQ,12.61,16637,209573.81
COUNCODOS,EQ,6.30,50053,323762.02
CPSEETF,EQ,94.27,1461178,138022091.15
CRAFTSMAN,EQ,9290.00,25071,231900149.50
CREATIVEYE,EQ,5.98,38503,235772.67
CNL,EQ,1033.40,598799,623090171.75
CREDITACC,EQ,1576.60,269185,424916367.80
MUFTI,EQ,81.24,155279,12686929.79
CREST,EQ,377.70,3139,1185077.35
CRISIL,EQ,4489.90,31732,142001313.40
CRIZAC,EQ,190.33,200996,38574721.17
CROMPTON,EQ,247.40,2095634,516544353.50
CROWN,EQ,112.58,6525,730095.17
CSBBANK,EQ,339.20,295517,99848829.65
CSLFINANCE,EQ,214.40,3932,848327.16
CSM,EQ,100.60,354740,36460653.06
CUBEXTUB,EQ,76.72,15494,1196194.99
CUMMINSIND,EQ,5455.50,573652,3132764942.00
CUPID,EQ,231.83,44976415,10319311512.39
CURAA,EQ,72.35,48,3431.75
CYIENTDLM,EQ,681.95,531063,360292403.15
CYIENT,EQ,838.00,774089,653677178.35
DLINKINDIA,EQ,450.75,82517,36927581.85
DPABHUSHAN,EQ,1384.00,39036,54533255.00
DBCORP,EQ,208.51,68942,14434553.50
DABUR,EQ,424.60,4458851,1911366521.85
DALBHARAT,EQ,1811.20,154391,280299197.90
DALMIASUG,EQ,352.40,67478,23848161.25
DAMCAPITAL,EQ,154.39,208562,32365562.04
DANGEE,EQ,2.93,43335,126405.20
DATAPATTNS,EQ,4381.70,901719,3950298010.60
DATAMATICS,EQ,840.00,67156,57114504.85
DAVANGERE,EQ,3.17,7216297,23177929.61
DCI,EQ,286.85,45736,13112738.00
DCBBANK,EQ,195.10,1691460,327622323.58
DCMFINSERV,EQ,5.26,17060,88537.88
DCMSRIND,EQ,39.41,43865,1740991.23
DCMSHRIRAM,EQ,1049.90,141913,150912081.80
DCW,EQ,46.00,483019,22391835.81
DCXINDIA,EQ,178.71,333698,59873877.29
DDEVPLSTIK,EQ,272.25,53865,14769126.75
DENORA,EQ,862.50,5476,4754414.60
DECCANCE,EQ,545.20,7297,3975199.30
DECNGOLD,EQ,194.83,1123744,218639438.98
DEEPINDS,EQ,506.95,1772407,923379243.85
DEEPAKFERT,EQ,1647.40,265326,434739782.70
DEEPAKNTR,EQ,1651.30,75838,126413647.90
DELHIVERY,EQ,472.20,5085231,2397399789.90
DELTACORP,EQ,62.68,569789,35859170.38
DELTAMAGNT,EQ,61.22,334039,21884638.72
DEN,EQ,27.23,187590,5118949.82
